id|gender|age|height|edu|salary|nation|car|house|body|face|hair|smoke|drink|child|parent|bmi|where0|where1|marriage0|marriage1|look0|look1|where2
1563600|F|34|160|3|1|1|-1|0|0|0|0|0|0|0|0|24.5|0|0|0|0|0|0|0
1750882|F|27|160|2|-1|0|-1|1|0|0|3|0|0|1|1|23.0|1|0|0|0|0|0|3
11545136|F|31|160|2|0|1|-1|1|0|0|5|3|1|1|0|25.0|0|-1|0|0|0|0|3
13689609|F|29|160|3|0|1|1|0|0|0|5|1|1|1|-1|24.5|0|-1|0|0|0|0|1
38422295|F|29|161|2|0|0|1|0|0|0|2|1|0|1|0|22.5|-1|-1|0|0|0|0|1
18643682|F|29|167|3|0|1|-1|0|-1|0|5|1|-1|1|-1|25.0|0|-1|0|0|0|1|1
4243003|F|26|160|2|-1|1|-1|0|0|0|5|3|-1|1|1|22.5|0|0|0|0|0|0|0
15015004|F|29|160|1|0|0|0|0|0|0|0|0|0|0|0|24.0|0|1|0|0|0|0|3
1490090|F|36|150|3|-1|1|-1|0|0|0|0|0|0|0|0|24.0|1|0|0|0|0|0|2
1313014|F|37|168|2|-1|1|-1|0|0|0|0|0|0|0|0|32.5|0|0|1|0|0|0|0
1618208|F|35|158|2|-1|1|-1|0|0|0|2|3|1|1|1|26.0|0|-1|0|0|0|1|4
79521002|F|29|163|2|0|1|0|0|0|0|5|0|0|0|0|29.0|0|1|0|0|0|0|3
4951421|F|31|158|3|0|1|-1|0|0|0|5|3|1|1|1|23.0|0|-1|0|0|0|0|4
11745172|F|25|168|2|-1|1|0|0|0|0|5|1|-1|1|0|30.0|-1|1|0|0|0|0|3
4774063|F|33|158|3|0|1|-1|0|0|0|2|1|1|1|0|21.5|0|0|0|0|1|0|0
1962497|F|37|160|2|1|1|-1|1|-1|0|0|0|1|0|0|24.5|1|0|0|0|0|0|3
57949650|F|34|160|1|-1|0|-1|0|-1|0|1|3|-1|1|0|22.5|0|1|0|0|0|0|1
2895286|F|31|162|2|0|1|-1|0|1|0|5|3|1|1|0|27.5|0|0|0|0|0|1|1
20501679|F|31|160|3|0|1|0|0|0|0|0|0|1|0|0|-1.0|0|0|0|0|0|0|0
15559007|F|27|167|3|0|1|-1|0|0|0|3|1|0|1|0|-1.0|-1|1|0|0|0|0|3
20662882|F|37|160|3|0|1|-1|0|0|0|5|3|1|0|1|-1.0|0|0|1|1|0|1|0
16552089|F|33|161|3|0|1|0|0|0|0|3|0|0|0|0|25.0|0|1|1|1|1|0|2
2538455|F|34|161|5|1|1|-1|1|0|0|5|3|0|1|0|23.5|0|0|1|0|0|1|0
22615753|F|32|160|2|-1|1|-1|0|0|1|3|1|0|1|0|24.0|-1|-1|0|0|0|1|1
2311540|F|30|165|3|1|0|-1|0|-1|0|5|0|0|1|-1|22.5|0|0|0|0|0|1|0
23476032|F|27|160|3|-1|1|-1|0|0|0|5|3|1|1|1|25.0|1|0|0|0|0|1|3
5009326|F|28|161|3|0|0|-1|1|1|0|5|3|1|1|0|27.5|0|0|0|0|0|1|0
21467616|F|28|165|3|0|1|-1|0|0|0|5|1|0|1|-1|22.5|0|0|0|0|0|0|0
7562409|F|33|163|3|0|1|-1|0|-1|1|5|1|0|1|1|25.0|1|0|0|0|1|0|3
1984087|F|37|164|3|0|1|-1|0|-1|0|2|3|0|1|0|25.0|0|-1|0|0|1|0|4
4487332|F|32|160|2|0|1|-1|0|-1|0|5|1|0|-1|-1|24.5|0|0|1|1|1|0|0
25250521|F|31|161|2|0|1|-1|0|1|0|5|3|0|0|0|30.0|0|0|0|0|0|1|0
2004250|F|30|160|2|-1|1|-1|0|0|0|3|3|0|1|0|21.5|0|-1|0|0|0|0|4
20551050|F|41|160|2|0|1|1|1|0|0|3|1|1|1|1|25.5|0|-1|1|1|0|1|4
11588250|F|32|159|1|-1|1|-1|0|-1|0|0|1|1|0|0|23.5|0|0|0|0|0|0|0
83977981|F|25|170|3|0|1|-1|0|0|0|5|0|0|1|0|-1.0|1|1|0|0|0|0|1
4452707|F|31|168|5|0|1|-1|0|-1|0|5|3|1|1|0|26.0|0|0|0|0|0|0|0
12305526|F|35|168|3|1|1|1|1|0|0|0|1|-1|0|0|-1.0|0|-1|0|0|0|0|4
66919267|F|23|166|1|0|1|-1|0|0|0|5|3|-1|1|0|26.0|1|0|0|0|0|0|2
4073256|F|34|155|3|0|0|-1|0|0|0|0|0|0|0|0|23.0|0|0|0|0|0|0|1
13507841|F|32|160|2|-1|0|0|0|0|0|0|0|0|0|0|22.5|0|0|0|0|0|0|1
16091687|F|32|165|1|-1|1|0|0|0|0|0|3|1|0|0|34.0|0|-1|0|0|0|0|1
30898521|F|29|155|3|0|0|-1|0|1|0|5|0|-1|1|-1|-1.0|0|0|0|0|1|0|1
18188314|F|31|155|2|-1|1|-1|0|0|0|3|1|0|1|0|21.0|-1|-1|0|0|0|0|1
