id|gender_x|age_x|height_x|edu_x|salary_x|nation_x|car_x|house_x|body_x|face_x|hair_x|smoke_x|drink_x|child_x|parent_x|bmi_x|where0_x|where1_x|marriage0_x|marriage1_x|look0_x|look1_x|where2_x|gender_y|age_y|height_y|edu_y|salary_y|nation_y|car_y|house_y|body_y|face_y|hair_y|smoke_y|drink_y|child_y|parent_y|bmi_y|where0_y|where1_y|marriage0_y|marriage1_y|look0_y|look1_y|where2_y
24095123|F|26|156|2|-1.0|1|-1|0|0.0|0|3|1|1|1|-1|26.5|0|0|0|0|0|0|0|M|30|168|0|1|1|-1|1|2.0|0|0|3|1|1|-1|30.0|0|0|0|0|1|1|0
11787078|F|37|165|1|-1.0|1|0|0|0.0|0|5|3|1|0|0|31.0|0|-1|1|1|0|1|1|M|39|176|-1|1|1|-1|0|2.0|1|0|-2|1|1|1|30.0|0|-1|1|0|0|0|1
4777738|F|30|168|4|0.0|1|0|0|-1.0|0|5|0|0|0|0|24.0|0|0|0|0|0|0|0|M|38|170|2|2|1|1|0|0.0|1|0|-2|-1|1|0|29.5|0|0|0|0|0|0|0
17633039|F|30|160|2|-1.0|1|0|0|-1.0|0|5|1|1|1|0|22.5|0|0|0|0|1|0|1|M|34|178|-1|0|1|0|1|2.0|0|0|-1|0|0|0|48.666666666666664|0|0|0|0|1|1|1
9968156|F|32|167|3|-1.0|1|-1|0|0.0|0|0|0|0|0|0|25.0|0|0|0|0|0|0|3|M|35|175|0|1|1|-1|1|0.0|1|0|-1|1|1|1|20.333333333333332|0|0|0|0|1|1|3
31806414|F|27|165|1|0.0|1|0|0|1.0|0|2|1|0|1|1|30.0|-1|-1|1|0|1|1|3|M|34|170|-1|1|1|1|0|2.0|0|0|-1|0|1|1|31.5|-1|-1|1|0|0|0|3
5099377|F|40|165|2|-1.0|1|-1|0|0.0|0|5|0|0|0|0|27.5|0|0|1|1|1|1|1|M|31|175|0|-1|1|1|0|0.0|1|0|-5|0|1|0|21.666666666666668|0|0|0|0|0|0|3
20437735|F|27|164|2|-1.0|1|-1|0|0.0|0|5|3|1|1|-1|-1.0|1|0|0|0|0|0|3|M|31|176|-1|0|1|-1|1|-1.0|1|-1|-1|0|1|-1|20.0|1|0|0|0|1|1|3
3047470|F|31|166|4|0.0|1|-1|0|0.0|0|0|0|1|-1|-1|28.5|1|0|0|0|0|0|3|M|33|179|0|1|1|-1|1|0.0|0|0|0|0|0|0|24.0|1|0|0|0|0|0|3
26231918|F|31|160|2|0.0|1|0|0|0.0|0|0|1|0|1|0|-1.0|-1|-1|0|0|0|0|1|M|38|165|0|0|1|-1|1|1.0|0|0|3|1|1|1|35.0|-1|-1|0|0|0|0|1
2450772|F|30|171|3|0.0|1|-1|1|-1.0|1|5|1|0|1|0|28.5|1|1|0|0|0|1|1|M|33|177|2|2|1|-1|0|2.0|1|0|1|-1|1|0|23.333333333333332|0|0|0|0|0|0|0
19363017|F|26|160|2|0.0|1|-1|0|0.0|0|3|1|0|0|0|-1.0|0|-1|0|0|0|1|4|M|29|172|0|0|0|0|0|0.0|0|0|0|0|0|0|-1.0|1|1|0|0|0|0|1
