id|gender|age|height|edu|salary|nation|car|house|body|face|hair|smoke|drink|child|parent|bmi|where0|where1|marriage0|marriage1|look0|look1|where2
22235882|M|26|181|0|1|1|1|1|2|1|0|-1|-1|1|0|26.0|1|0|0|0|1|1|2
80809632|M|28|180|-2|2|1|1|0|0|1|0|1|0|1|1|21.333333333333332|0|-1|0|0|0|1|1
23214060|M|29|165|0|0|1|-1|0|0|1|0|1|0|1|0|29.0|1|0|0|0|1|1|3
14955960|M|31|180|0|0|1|-1|0|2|1|-1|-1|0|1|1|25.0|-1|-1|0|0|0|1|1
20912853|M|29|175|0|1|0|1|1|0|1|-1|3|0|1|-1|21.666666666666668|0|1|0|0|0|1|1
18776488|M|37|175|0|1|1|1|1|0|0|0|3|1|0|0|-1.0|0|0|0|0|0|0|0
17408049|M|60|171|-2|-1|1|-1|0|0|0|0|-1|0|0|1|30.0|-1|1|1|0|1|1|1
30097020|M|26|186|-1|0|1|1|1|-1|1|0|-4|-1|0|0|-1.0|1|1|0|0|0|0|1
12418137|M|32|175|0|0|1|-1|0|0|0|0|-2|0|1|0|-1.0|1|0|0|0|1|1|3
2417362|M|32|175|0|1|1|1|1|2|0|0|-5|-1|0|0|23.333333333333332|0|0|0|0|0|0|0
